Author,Delay,Previous Characters,Characters,Ratio,Mean,STDEV,Ratio2,Mean2,STDEV2,Range,Range2,Conversation,Violation
Amare,14,19,26,1.85714285714286,1.12615622270681,0.29254296915033,3.21428571428571,2.53269082501966,0.574708648156556,4,4,1,0
Amare,33,52,36,1.09090909090909,1.12615622270681,0.29254296915033,2.66666666666667,2.53269082501966,0.574708648156556,2,3,1,0
Amare,65,88,72,1.10769230769231,1.12615622270681,0.29254296915033,2.46153846153846,2.53269082501966,0.574708648156556,2,2,1,0
Amare,52,129,77,1.48076923076923,1.12615622270681,0.29254296915033,3.96153846153846,2.53269082501966,0.574708648156556,4,4,1,0
Amare,50,54,61,1.22,1.12615622270681,0.29254296915033,2.3,2.53269082501966,0.574708648156556,3,2,1,0
Amare,61,100,89,1.45901639344262,1.12615622270681,0.29254296915033,3.09836065573771,2.53269082501966,0.574708648156556,4,3,1,0
Amare,71,120,76,1.07042253521127,1.12615622270681,0.29254296915033,2.76056338028169,2.53269082501966,0.574708648156556,2,3,1,0
Amare,104,158,80,0.769230769230769,1.12615622270681,0.29254296915033,2.28846153846154,2.53269082501966,0.574708648156556,1,2,1,0
Amare,7,7,6,0.857142857142857,1.12615622270681,0.29254296915033,1.85714285714286,2.53269082501966,0.574708648156556,2,1,2,0
Amare,17,19,25,1.47058823529412,1.12615622270681,0.29254296915033,2.58823529411765,2.53269082501966,0.574708648156556,4,3,2,0
Amare,35,46,39,1.11428571428571,1.12615622270681,0.29254296915033,2.42857142857143,2.53269082501966,0.574708648156556,2,2,2,0
Amare,46,62,49,1.06521739130435,1.12615622270681,0.29254296915033,2.41304347826087,2.53269082501966,0.574708648156556,2,2,2,0
Amare,47,79,49,1.04255319148936,1.12615622270681,0.29254296915033,2.72340425531915,2.53269082501966,0.574708648156556,2,3,2,0
Amare,58,96,51,0.879310344827586,1.12615622270681,0.29254296915033,2.53448275862069,2.53269082501966,0.574708648156556,2,3,2,2
Amare,78,129,111,1.42307692307692,1.12615622270681,0.29254296915033,3.07692307692308,2.53269082501966,0.574708648156556,4,3,2,2
Amare,84,104,90,1.07142857142857,1.12615622270681,0.29254296915033,2.30952380952381,2.53269082501966,0.574708648156556,2,2,2,0
Amare,60,40,46,0.766666666666667,1.12615622270681,0.29254296915033,1.43333333333333,2.53269082501966,0.574708648156556,1,1,2,2
Amare,66,104,65,0.984848484848485,1.12615622270681,0.29254296915033,2.56060606060606,2.53269082501966,0.574708648156556,2,3,2,2
Argiser,73,7,83,1.13698630136986,1.71386781223619,0.499147636306745,1.23287671232877,3.15358508995213,1.17791344641831,1,1,1,0
Argiser,46,43,108,2.34782608695652,1.71386781223619,0.499147636306745,3.28260869565217,3.15358508995213,1.17791344641831,4,3,1,3
Argiser,65,51,131,2.01538461538462,1.71386781223619,0.499147636306745,2.8,3.15358508995213,1.17791344641831,3,2,1,0
Argiser,127,75,200,1.5748031496063,1.71386781223619,0.499147636306745,2.16535433070866,3.15358508995213,1.17791344641831,2,2,1,3
Argiser,125,176,200,1.6,1.71386781223619,0.499147636306745,3.008,3.15358508995213,1.17791344641831,2,2,1,0
Argiser,32,85,69,2.15625,1.71386781223619,0.499147636306745,4.8125,3.15358508995213,1.17791344641831,3,4,1,0
Argiser,56,86,146,2.60714285714286,1.71386781223619,0.499147636306745,4.14285714285714,3.15358508995213,1.17791344641831,4,3,1,3
Argiser,17,7,23,1.35294117647059,1.71386781223619,0.499147636306745,1.76470588235294,3.15358508995213,1.17791344641831,2,1,2,0
Argiser,79,33,124,1.56962025316456,1.71386781223619,0.499147636306745,1.9873417721519,3.15358508995213,1.17791344641831,2,2,2,0
Argiser,48,151,80,1.66666666666667,1.71386781223619,0.499147636306745,4.8125,3.15358508995213,1.17791344641831,2,4,2,0
Argiser,102,61,148,1.45098039215686,1.71386781223619,0.499147636306745,2.04901960784314,3.15358508995213,1.17791344641831,2,2,2,0
Argiser,110,181,183,1.66363636363636,1.71386781223619,0.499147636306745,3.30909090909091,3.15358508995213,1.17791344641831,2,3,2,0
Argiser,64,172,37,0.578125,1.71386781223619,0.499147636306745,3.265625,3.15358508995213,1.17791344641831,1,3,2,0
Argiser,81,79,188,2.32098765432099,1.71386781223619,0.499147636306745,3.2962962962963,3.15358508995213,1.17791344641831,4,3,2,0
Argiser,24,89,40,1.66666666666667,1.71386781223619,0.499147636306745,5.375,3.15358508995213,1.17791344641831,2,4,2,0
Arian,7,7,23,3.28571428571429,1.91286486393914,0.965885234055491,4.28571428571429,3.80973450092067,1.72206336948653,4,3,1,0
Arian,11,47,31,2.81818181818182,1.91286486393914,0.965885234055491,7.09090909090909,3.80973450092067,1.72206336948653,3,4,1,0
Arian,28,51,65,2.32142857142857,1.91286486393914,0.965885234055491,4.14285714285714,3.80973450092067,1.72206336948653,3,3,1,0
Arian,13,30,41,3.15384615384615,1.91286486393914,0.965885234055491,5.46153846153846,3.80973450092067,1.72206336948653,4,3,1,0
Arian,32,67,48,1.5,1.91286486393914,0.965885234055491,3.59375,3.80973450092067,1.72206336948653,2,2,1,0
Arian,39,80,67,1.71794871794872,1.91286486393914,0.965885234055491,3.76923076923077,3.80973450092067,1.72206336948653,2,2,1,0
Arian,36,100,54,1.5,1.91286486393914,0.965885234055491,4.27777777777778,3.80973450092067,1.72206336948653,2,3,1,0
